Wavelength [nm],Intensity [a.u.]
968.7244272487459,1006.0
968.8446824603488,994.0
968.9648764755193,1009.0
969.0850092377837,998.0
969.205080690668,998.0
969.3250907776987,983.0
969.4450394424022,1002.0
969.5649266283046,987.0
969.6847522789325,1002.0
969.804516337812,998.0
969.9242187484693,990.0
970.043859454431,994.0
970.1634383992231,998.0
970.282955526372,998.0
970.4024107794041,990.0
970.5218041018456,998.0
970.641135437223,1002.0
970.7604047290624,994.0
970.8796119208902,998.0
970.9987569562327,1002.0
971.117839778616,1002.0
971.2368603315667,972.0
971.355818558611,987.0
971.4747144032751,998.0
971.5935478090855,990.0
971.7123187195684,1006.0
971.8310270782501,983.0
971.949672828657,1002.0
972.0682559143152,1017.0
972.186776278751,1006.0
972.305233865491,998.0
972.4236286180612,994.0
972.5419604799882,1002.0
972.6602293947981,1002.0
972.7784353060172,998.0
972.8965781571719,1002.0
973.0146578917884,987.0
973.1326744533931,990.0
973.2506277855122,1002.0
973.3685178316721,1006.0
973.4863445353991,1009.0
973.6041078402195,987.0
973.7218076896596,1006.0
973.8394440272457,1002.0
973.957016796504,987.0
974.0745259409609,1002.0
974.1919714041428,994.0
974.3093531295758,998.0
974.4266710607865,998.0
974.5439251413009,1009.0
974.6611153146454,1002.0
974.7782415243464,1009.0
974.89530371393,1013.0
975.0123018269228,1002.0
975.1292358068508,990.0
975.2461055972406,994.0
975.3629111416183,990.0
975.4796523835103,994.0
975.5963292664428,1002.0
975.7129417339422,994.0
975.8294897295348,1002.0
975.9459731967468,987.0
976.0623920791046,1013.0
976.1787463201345,1002.0
976.2950358633628,1002.0
976.4112606523158,1006.0
976.5274206305198,994.0
976.6435157415012,994.0
976.7595459287861,987.0
976.875511135901,994.0
976.991411306372,990.0
977.1072463837256,990.0
977.2230163114881,994.0
977.3387210331857,998.0
977.4543604923448,994.0
977.5699346324916,998.0
977.6854433971524,998.0
977.8008867298536,998.0
977.9162645741214,983.0
978.0315768734822,990.0
978.1468235714624,1002.0
978.262004611588,990.0
978.3771199373856,998.0
978.4921694923814,998.0
978.6071532201016,998.0
978.7220710640727,990.0
978.8369229678208,1009.0
978.9517088748723,1002.0
979.0664287287536,1002.0
979.181082472991,1002.0
979.2956700511106,1009.0
979.4101914066389,1002.0
979.5246464831021,1006.0
979.6390352240264,1006.0
979.7533575729384,1009.0
979.8676134733641,990.0
979.9818028688302,1002.0
980.0959257028626,1006.0
980.2099819189878,1006.0
980.3239714607321,987.0
980.4378942716216,998.0
980.551750295183,994.0
980.6655394749422,998.0
980.7792617544258,994.0
980.89291707716,1009.0
981.006505386671,998.0
981.1200266264854,1002.0
981.2334807401292,998.0
981.3468676711287,998.0
981.4601873630104,1021.0
981.5734397593005,994.0
981.6866248035253,998.0
981.7997424392113,1009.0
981.9127926098845,994.0
982.0257752590713,1006.0
982.1386903302982,1002.0
982.2515377670912,1017.0
982.3643175129769,987.0
982.4770295114813,1002.0
982.589673706131,987.0
982.7022500404521,983.0
982.814758457971,1006.0
982.9271989022141,990.0
983.0395713167075,990.0
983.1518756449775,990.0
983.2641118305505,994.0
983.3762798169529,987.0
983.4883795477108,1009.0
983.6004109663508,979.0
983.7123740163988,994.0
983.8242686413814,998.0
983.936094784825,998.0
984.0478523902555,989.0
984.1595414011995,979.0
984.2711617611832,975.0
984.382713413733,1013.0
984.4941963023751,990.0
